Wafer Type,Device,Wafer Side,Area [cm^-2],Isc [A],Voc [V],Pmpp [W],Impp [I],Vmpp [V],FF [],Eta [%],Rs [Ohm],Rp [Ohm],Jsc [A/cm^-2],Jmpp [A/cm^-2],Rs [Ohm/cm^-2],Rp [Ohm/cm^-2]
jnj,shj,hydro,0.243,8.957794282376796,0.7393779635590162,4.65944348717604,8.036106110236357,0.5798135842483291,0.7035038223400705,19.174664556280003,0.004622997891523309,6698.744498307597,36.863350956283114,33.07039551537596,1.123388487640164,1627794.913088746
jnj,shj,hydro,0.243,8.970953869013494,0.7386074292053909,4.697470807033295,8.091441799649497,0.5805480560011912,0.70894377707562,19.331155584499157,0.004425107173313559,7019.677179712166,36.91750563380039,33.29811440184978,1.0753010431151948,1705781.5546700566
jnj,shj,hydro,0.243,8.95289197069462,0.7376825987527227,4.760270891970913,8.140837346788311,0.5847397127826065,0.7207734562822811,19.58959214802845,0.003580019292811716,4184.6918224243045,36.84317683413424,33.50138825838811,0.869944688153247,1016880.112849106
jnj,shj,hydro,0.243,8.942994138531079,0.7394731134097414,4.692739639748049,8.051256619911197,0.5828580383517584,0.7096122848322868,19.311685760280035,0.004250615785008544,6683.886026959129,36.80244501453119,33.13274329181562,1.032899635757076,1624184.3045510682
jnj,shj,hydro,0.243,8.973352459293293,0.7388951581515694,4.706412191562883,8.062980933832964,0.5837062285257765,0.7098268339401367,19.367951405608572,0.004086931668404514,8864.785456922227,36.92737637569257,33.180991497255,0.9931243954222969,2154142.866032101
jnj,shj,hydro,0.243,8.981228267283726,0.7399447506739065,4.7338502902858455,8.071211591251668,0.5865104930983143,0.712327139146101,19.480865392122823,0.0036281370431952785,5994.862622231353,36.95978710816348,33.214862515438966,0.8816373014964527,1456751.6172022189
jnj,shj,hydro,0.243,8.93893083402898,0.7399298867944857,4.7085071036013435,8.063787909245088,0.5839076072676795,0.7118804784309101,19.376572442803884,0.0038312685393035568,4680.619225598149,36.78572359682708,33.18431238372464,0.9309982550507643,1137390.47182035
jnj,shj,hydro,0.243,8.943683636682175,0.7383985041333918,4.703516088624157,8.06163599862573,0.5834443640752283,0.7122220205147831,19.356033286519168,0.003939839191441988,7780.263475092476,36.80528245548221,33.175456784468025,0.957380923520403,1890604.0244474716
jnj,shj,hydro,0.243,8.954716755137687,0.737180297186175,4.74304056617537,8.14019896020862,0.5826688744784456,0.7185074351172176,19.51868545751181,0.0039585942346029405,6579.048006272173,36.85068623513452,33.49876115312189,0.9619383990085145,1598708.665524138
jnj,shj,hydro,0.243,8.98394987648352,0.7392633473193461,4.700852634188626,8.063173474563891,0.5830027902807683,0.7077993218119217,19.345072568677477,0.004202980144198123,8955.007362037677,36.970987146022715,33.18178384594194,1.0213241750401438,2176066.7889751554
jnj,shj,hydro,0.243,8.975047541179313,0.7387799313451346,4.700741002303619,8.07731886831351,0.5819679870190766,0.7089481543247057,19.344613178204195,0.004434961373321071,7347.972069187775,36.93435202131405,33.23999534285395,1.0776956137170204,1785557.212812629
jnj,shj,hydro,0.243,8.966144730182949,0.7395914520910634,4.658719670813642,8.031199760373823,0.5800776733010554,0.7025365932681712,19.17168588812198,0.004783308362874825,7783.020873695499,36.89771493902448,33.05020477520092,1.1623439321785822,1891274.0723080062
jnj,shj,hydro,0.243,8.949523394047356,0.7378892444649402,4.727761769672953,8.062972496356767,0.5863546938562892,0.7159200027953907,19.45580975174055,0.003445093789806086,5008.386309165325,36.8293143787957,33.18095677513073,0.8371577909228789,1217037.8731271739
jnj,shj,hydro,0.243,9.002480311864156,0.738516544322583,4.716040390890361,8.107677944224537,0.58167584150895,0.7093410718903157,19.407573625063215,0.004208619053549106,8543.61093561594,37.0472440817455,33.36492981162361,1.0226944300124328,2076097.4573546732
jnj,shj,hydro,0.243,8.987207235705473,0.7371354798670879,4.742308901377906,8.112254072653476,0.5845858449335675,0.7158429760531974,19.515674491267102,0.003587281388197187,7045.562726810393,36.984391916483425,33.38376161585793,0.8717093773319163,1712071.7426149254
jnj,shj,hydro,0.243,8.930958961793548,0.7387210752873297,4.720899476523677,8.060497963551398,0.5856833532954187,0.715560188560744,19.427569862237352,0.003458435172710036,6751.40104547421,36.75291753824506,33.1707735125572,0.8403997469685387,1640590.4540502331
