Device,iVoc (V),J_0 (A),t_Blk (s),t_Eff (s),R^2
sphj-init-h2150-gen-1,0.5800582245154194,1.233989799329937e-12,9.453596814329459e-06,6.848584683897085e-06,0.8492286511148768
sphj-init-h2149-gen-1,0.5830361499887857,1.0641018261820548e-12,1.0379402216615003e-05,7.630540751563928e-06,0.8494179584530173
sphj-init-h2144-gen-1,0.5796053969639993,1.4316959019365541e-12,9.455634208291811e-06,6.560558605750556e-06,0.8312823986202419
sphj-init-h2143-gen-1,0.5834177334867903,1.1075507831723376e-12,1.067721875074406e-05,7.705418350194544e-06,0.7904123557658531
sphj-init-h2142-gen-1,0.5828370196814412,1.0879007636865899e-12,1.0017921437007816e-05,7.390810291737763e-06,0.8250300643330993
sphj-init-h2140-gen-1,0.5823092243706878,1.1677192016877333e-12,9.728547890942331e-06,7.098764966317636e-06,0.8670865142122715
