Histogram Bins [cnts.],Histogram [pxls.],Area Norm. Histogram [pxl frac.]
393.9380416241622,6983,7.289144050104384
562.0800782868293,68949,71.97181628392484
730.2221149494966,62444,65.18162839248434
898.3641516121638,37039,38.66283924843424
1066.506188274831,26063,27.20563674321503
1234.648224937498,21311,22.245302713987474
1402.7902616001652,18466,19.275574112734866
1570.9322982628325,17874,18.657620041753653
1739.0743349254997,16001,16.70250521920668
1907.2163715881668,14039,14.654488517745303
2075.358408250834,13115,13.689979123173277
2243.5004449135013,12239,12.775574112734864
2411.6424815761684,11789,12.305845511482255
2579.7845182388355,11848,12.367432150313153
2747.9265549015026,12344,12.88517745302714
2916.0685915641698,12670,13.225469728601253
3084.210628226837,12288,12.826722338204593
3252.352664889504,12182,12.716075156576201
3420.494701552171,12500,13.048016701461378
3588.6367382148383,12339,12.879958246346556
3756.7787748775054,11279,11.773486430062631
3924.9208115401734,10319,10.771398747390396
4093.0628482028405,10404,10.860125260960334
4261.204884865508,10620,11.085594989561587
4429.346921528175,10889,11.366388308977035
4597.488958190842,10630,11.096033402922755
4765.630994853509,10321,10.773486430062631
4933.773031516176,9920,10.35490605427975
5101.915068178843,9284,9.691022964509395
5270.05710484151,9073,9.470772442588727
5438.1991415041775,8867,9.255741127348642
5606.341178166845,9137,9.537578288100208
5774.483214829512,9414,9.826722338204593
5942.625251492179,8863,9.251565762004175
6110.767288154846,8639,9.017745302713987
6278.909324817513,8270,8.632567849686847
6447.05136148018,8406,8.774530271398747
6615.193398142847,8517,8.890396659707724
6783.3354348055145,8675,9.055323590814195
6951.477471468182,8865,9.25365344467641
7119.619508130849,8562,8.937369519832986
7287.761544793517,8763,9.147181628392484
7455.903581456184,9023,9.41858037578288
7624.045618118851,9169,9.57098121085595
7792.187654781518,9519,9.936325678496868
7960.329691444185,10220,10.668058455114823
8128.471728106852,10087,10.529227557411273
8296.61376476952,10305,10.75678496868476
8464.755801432188,10460,10.91858037578288
8632.897838094854,10116,10.559498956158665
8801.039874757522,10361,10.815240083507307
8969.181911420188,10683,11.151356993736952
9137.323948082856,10590,11.054279749478079
9305.465984745522,10399,10.85490605427975
9473.60802140819,10369,10.823590814196242
9641.750058070857,10751,11.222338204592901
9809.892094733525,10695,11.163883089770355
9978.03413139619,9827,10.257828810020877
10146.176168058859,8731,9.113778705636744
10314.318204721525,7928,8.275574112734864
10482.460241384193,7096,7.407098121085595
10650.60227804686,6582,6.870563674321503
10818.744314709527,6421,6.702505219206681
10986.886351372194,6427,6.708768267223382
11155.028388034862,6243,6.51670146137787
11323.17042469753,5929,6.188935281837161
11491.312461360196,5329,5.562630480167015
11659.454498022864,5075,5.297494780793319
11827.59653468553,5230,5.45929018789144
11995.738571348198,5004,5.223382045929019
12163.880608010864,4646,4.849686847599165
12332.022644673532,4373,4.564718162839249
12500.164681336199,4032,4.208768267223382
12668.306717998867,3997,4.17223382045929
12836.448754661533,3916,4.087682672233821
13004.5907913242,3807,3.9739039665970775
13172.732827986867,3619,3.777661795407098
13340.874864649535,3237,3.3789144050104385
13509.016901312201,2841,2.965553235908142
13677.15893797487,2479,2.5876826722338206
13845.300974637536,1896,1.9791231732776617
14013.443011300204,1494,1.5594989561586639
14181.585047962872,1280,1.336116910229645
14349.727084625538,1215,1.268267223382046
14517.869121288206,1270,1.325678496868476
14686.011157950872,1293,1.349686847599165
14854.15319461354,1367,1.4269311064718162
15022.295231276206,1440,1.5031315240083507
15190.437267938874,1462,1.5260960334029228
15358.57930460154,1531,1.5981210855949897
15526.721341264209,1510,1.5762004175365345
15694.863377926875,1548,1.615866388308977
15863.005414589543,1439,1.5020876826722338
16031.147451252209,1147,1.197286012526096
16199.289487914877,1025,1.069937369519833
16367.431524577543,915,0.9551148225469729
16535.573561240213,642,0.6701461377870563
16703.71559790288,375,0.3914405010438413
16871.857634565546,128,0.1336116910229645
17039.99967122821,29,0.030271398747390398
