Histogram Bins [cnts.],Histogram [pxls.],Area Norm. Histogram [pxl frac.]
-57.63624323922918,67,0.06993736951983298
-56.121555638231214,58,0.060542797494780795
-54.60686803723324,66,0.06889352818371608
-53.092180436235274,49,0.0511482254697286
-51.57749283523731,60,0.06263048016701461
-50.062805234239335,71,0.07411273486430063
-48.54811763324137,66,0.06889352818371608
-47.0334300322434,53,0.055323590814196244
-45.51874243124543,89,0.09290187891440502
-44.00405483024746,113,0.11795407098121086
-42.489367229249495,92,0.09603340292275574
-40.97467962825152,180,0.18789144050104384
-39.459992027253556,154,0.16075156576200417
-37.94530442625559,162,0.16910229645093947
-36.430616825257616,163,0.17014613778705637
-34.915929224259656,207,0.2160751565762004
-33.40124162326168,267,0.278705636743215
-31.886554022263713,257,0.26826722338204595
-30.371866421265747,367,0.38308977035490605
-28.857178820267777,491,0.5125260960334029
-27.34249121926981,499,0.5208768267223383
-25.82780361827184,628,0.6555323590814196
-24.31311601727387,727,0.7588726513569938
-22.798428416275904,869,0.907098121085595
-21.28374081527793,1123,1.1722338204592901
-19.769053214279964,1440,1.5031315240083507
-18.254365613281998,1904,1.9874739039665972
-16.73967801228403,2817,2.940501043841336
-15.224990411286058,3800,3.9665970772442587
-13.710302810288091,4697,4.902922755741128
-12.195615209290125,6082,6.348643006263048
-10.680927608292151,7730,8.068893528183716
-9.166240007294185,10389,10.84446764091858
-7.651552406296219,12315,12.85490605427975
-6.136864805298245,15658,16.34446764091858
-4.622177204300279,20502,21.400835073068894
-3.1074896033023123,24178,25.237995824634655
-1.5928020023043388,29113,30.38935281837161
-0.07811440130637237,34759,36.282881002087684
1.436573199691594,38866,40.569937369519835
2.9512608006895604,42390,44.24843423799582
4.465948401687534,45119,47.09707724425887
5.9806360026855,47504,49.586638830897705
7.495323603683467,48714,50.849686847599166
9.01001120468144,47646,49.734864300626306
10.524698805679414,47869,49.96764091858038
12.039386406677373,45433,47.42484342379958
13.554074007675347,41234,43.04175365344468
15.06876160867332,37653,39.30375782881002
16.58344920967128,35519,37.07620041753653
18.098136810669253,34620,36.13778705636743
19.612824411667212,33451,34.91753653444676
21.127512012665186,32135,33.54384133611691
22.64219961366316,30404,31.73695198329854
24.15688721466112,25502,26.620041753653446
25.671574815659092,20429,21.32463465553236
27.186262416657065,15930,16.62839248434238
28.700950017655025,12787,13.347599164926931
30.215637618653,9589,10.009394572025052
31.73032521965097,7606,7.939457202505219
33.24501282064893,6553,6.840292275574113
34.759700421646905,5482,5.722338204592902
36.27438802264488,4870,5.083507306889353
37.78907562364284,3949,4.122129436325679
39.30376322464081,3183,3.3225469728601253
40.818450825638784,2435,2.5417536534446765
42.333138426636744,1824,1.9039665970772444
43.84782602763472,1401,1.4624217118997913
45.36251362863269,1012,1.0563674321503131
46.87720122963065,910,0.9498956158663883
48.39188883062862,818,0.8538622129436325
49.9065764316266,586,0.6116910229645094
51.421264032624556,414,0.4321503131524008
52.93595163362253,390,0.407098121085595
54.4506392346205,221,0.23068893528183715
55.96532683561846,146,0.1524008350730689
57.480014436616436,91,0.09498956158663883
58.99470203761441,53,0.055323590814196244
60.50938963861237,65,0.06784968684759916
62.02407723961034,50,0.05219206680584551
63.5387648406083,38,0.03966597077244259
65.05345244160628,22,0.022964509394572025
66.56814004260426,24,0.025052192066805846
68.0828276436022,26,0.027139874739039668
69.59751524460017,44,0.04592901878914405
71.11220284559815,29,0.030271398747390398
72.62689044659612,38,0.03966597077244259
74.1415780475941,42,0.04384133611691023
75.65626564859207,47,0.049060542797494784
77.17095324959004,54,0.05636743215031315
78.68564085058802,28,0.029227557411273485
80.20032845158596,46,0.04801670146137787
81.71501605258393,36,0.037578288100208766
83.22970365358191,37,0.038622129436325675
84.74439125457988,26,0.027139874739039668
86.25907885557785,21,0.021920668058455117
87.77376645657583,26,0.027139874739039668
89.28845405757377,29,0.030271398747390398
90.80314165857175,21,0.021920668058455117
92.31782925956972,15,0.015657620041753653
