Histogram Bins [cnts.],Histogram [pxls.],Area Norm. Histogram [pxl frac.]
535.0637676609662,6932,7.235908141962422
742.5143870352675,72856,76.05010438413362
949.965006409569,62651,65.39770354906054
1157.4156257838704,34871,36.39979123173278
1364.8662451581718,22624,23.615866388308977
1572.3168645324731,17800,18.580375782881003
1779.7674839067745,17419,18.18267223382046
1987.2181032810759,15595,16.278705636743215
2194.668722655377,15202,15.86847599164927
2402.1193420296786,13738,14.340292275574113
2609.5699614039804,12973,13.541753653444676
2817.020580778282,12160,12.693110647181628
3024.471200152583,11289,11.783924843423799
3231.9218195268845,10496,10.95615866388309
3439.372438901186,9610,10.031315240083508
3646.8230582754873,8963,9.355949895615867
3854.2736776497886,8120,8.47599164926931
4061.72429702409,8082,8.436325678496868
4269.174916398391,7720,8.058455114822547
4476.625535772692,7314,7.634655532359082
4684.076155146994,6864,7.164926931106471
4891.526774521295,6529,6.815240083507307
5098.977393895597,6416,6.697286012526096
5306.428013269898,6299,6.575156576200418
5513.8786326442,6250,6.524008350730689
5721.3292520185005,6199,6.470772442588727
5928.779871392802,5993,6.255741127348643
6136.230490767103,6165,6.435281837160751
6343.681110141405,6222,6.494780793319415
6551.131729515706,6103,6.370563674321503
6758.582348890008,6035,6.299582463465553
6966.032968264309,6028,6.292275574112735
7173.4835876386105,6049,6.31419624217119
7380.934207012912,6180,6.450939457202505
7588.384826387213,6253,6.5271398747390394
7795.835445761515,6352,6.630480167014614
8003.286065135816,6182,6.453027139874739
8210.736684510119,6261,6.535490605427975
8418.187303884419,6184,6.455114822546973
8625.63792325872,6123,6.391440501043841
8833.088542633022,6252,6.526096033402923
9040.539162007322,6311,6.587682672233821
9247.989781381624,6519,6.804801670146138
9455.440400755926,6401,6.681628392484343
9662.891020130228,6722,7.01670146137787
9870.341639504528,6628,6.918580375782881
10077.79225887883,6578,6.866388308977036
10285.242878253131,6636,6.926931106471816
10492.693497627433,6669,6.961377870563674
10700.144117001735,6662,6.954070981210856
10907.594736376035,6859,7.159707724425887
11115.045355750337,6742,7.0375782881002085
11322.495975124639,6915,7.218162839248434
11529.94659449894,6948,7.252609603340292
11737.39721387324,7199,7.514613778705637
11944.847833247542,6952,7.25678496868476
12152.298452621844,7356,7.6784968684759916
12359.749071996146,7530,7.860125260960334
12567.199691370446,7605,7.938413361169102
12774.650310744748,7412,7.736951983298539
12982.10093011905,7570,7.90187891440501
13189.551549493352,7743,8.082463465553236
13397.002168867652,8238,8.599164926931106
13604.452788241953,9097,9.495824634655532
13811.903407616255,9551,9.96972860125261
14019.354026990557,9088,9.48643006263048
14226.804646364859,8390,8.757828810020877
14434.255265739159,8129,8.485386221294362
14641.70588511346,7818,8.160751565762004
14849.156504487763,7988,8.33820459290188
15056.607123862064,7741,8.080375782881003
15264.057743236364,7202,7.517745302713988
15471.508362610666,6982,7.288100208768268
15678.958981984968,6960,7.265135699373695
15886.40960135927,7024,7.3319415448851775
16093.86022073357,7033,7.34133611691023
16301.310840107872,6893,7.195198329853862
16508.761459482175,6995,7.301670146137787
16716.212078856475,7258,7.576200417536534
16923.662698230775,7313,7.633611691022964
17131.11331760508,7572,7.903966597077244
17338.56393697938,7665,8.001043841336116
17546.01455635368,7878,8.22338204592902
17753.465175727983,8014,8.365344467640918
17960.915795102283,8549,8.923799582463465
18168.366414476586,8870,9.258872651356993
18375.817033850886,9137,9.537578288100208
18583.267653225186,9635,10.05741127348643
18790.71827259949,9410,9.822546972860126
18998.16889197379,8731,9.113778705636744
19205.61951134809,7597,7.930062630480167
19413.070130722394,6846,7.146137787056367
19620.520750096694,6159,6.42901878914405
19827.971369470997,5427,5.664926931106471
20035.421988845297,4965,5.182672233820459
20242.872608219597,4423,4.616910229645094
20450.3232275939,2726,2.845511482254697
20657.7738469682,1441,1.5041753653444676
20865.224466342504,578,0.6033402922755741
21072.675085716804,88,0.0918580375782881
