Histogram Bins [cnts.],Histogram [pxls.],Area Norm. Histogram [pxl frac.]
479.75873878148263,9092,9.490605427974948
668.7485571824684,80282,83.80167014613778
857.7383755834542,61774,64.48225469728601
1046.72819398444,34505,36.01774530271399
1235.7180123854257,23907,24.955114822546975
1424.7078307864115,18845,19.671189979123174
1613.6976491873972,16601,17.328810020876826
1802.687467588383,16268,16.981210855949897
1991.6772859893688,15278,15.947807933194154
2180.6671043903543,13766,14.369519832985386
2369.6569227913405,12577,13.12839248434238
2558.646741192326,11847,12.366388308977035
2747.636559593312,11292,11.78705636743215
2936.6263779942974,10558,11.020876826722338
3125.6161963952836,10204,10.651356993736952
3314.606014796269,10286,10.736951983298539
3503.595833197255,9494,9.910229645093946
3692.5856515982405,8801,9.186847599164928
3881.5754699992267,8467,8.83820459290188
4070.565288400212,8272,8.634655532359082
4259.555106801198,8312,8.676409185803758
4448.544925202184,8417,8.786012526096034
4637.53474360317,7923,8.27035490605428
4826.524562004156,6766,7.062630480167015
5015.514380405141,6459,6.742171189979123
5204.504198806127,6264,6.538622129436326
5393.494017207113,6157,6.426931106471816
5582.483835608099,6329,6.606471816283925
5771.473654009084,6381,6.660751565762004
5960.46347241007,6562,6.849686847599165
6149.453290811056,6808,7.106471816283925
6338.443109212042,6697,6.990605427974947
6527.4329276130275,6550,6.837160751565762
6716.422746014013,6640,6.931106471816284
6905.412564414999,6546,6.832985386221294
7094.402382815985,6589,6.877870563674321
7283.3922012169705,6544,6.83089770354906
7472.382019617956,6631,6.921711899791232
7661.371838018942,6875,7.176409185803758
7850.361656419928,7285,7.604384133611691
8039.351474820914,7681,8.017745302713987
8228.341293221898,8111,8.46659707724426
8417.331111622885,8009,8.360125260960334
8606.32093002387,8178,8.536534446764092
8795.310748424856,7936,8.283924843423799
8984.300566825841,8256,8.617954070981211
9173.290385226828,8364,8.730688935281837
9362.280203627814,8168,8.526096033402922
9551.270022028799,8094,8.448851774530272
9740.259840429784,8316,8.680584551148225
9929.24965883077,8470,8.84133611691023
10118.239477231757,8608,8.985386221294362
10307.229295632742,8472,8.843423799582464
10496.219114033727,8059,8.41231732776618
10685.208932434714,7945,8.293319415448853
10874.1987508357,7713,8.051148225469728
11063.188569236685,7713,8.051148225469728
11252.17838763767,7814,8.156576200417536
11441.168206038656,7590,7.922755741127348
11630.158024439643,7926,8.273486430062631
11819.147842840628,7860,8.204592901878915
12008.137661241613,7687,8.02400835073069
12197.1274796426,7986,8.336116910229645
12386.117298043586,8041,8.393528183716075
12575.107116444571,8497,8.869519832985386
12764.096934845556,8666,9.045929018789144
12953.086753246542,8589,8.965553235908143
13142.076571647529,9153,9.554279749478079
13331.066390048514,8484,8.855949895615867
13520.0562084495,8191,8.550104384133611
13709.046026850487,8144,8.501043841336116
13898.035845251472,7663,7.998956158663883
14087.025663652457,7534,7.864300626304802
14276.015482053443,7391,7.715031315240084
14465.005300454428,7541,7.87160751565762
14653.995118855415,7804,8.146137787056368
14842.9849372564,7476,7.803757828810021
15031.974755657386,6942,7.246346555323591
15220.964574058373,6701,6.994780793319415
15409.954392459358,7126,7.438413361169102
15598.944210860343,6751,7.046972860125261
15787.934029261329,6506,6.791231732776618
15976.923847662314,5843,6.099164926931106
16165.913666063301,5841,6.097077244258872
16354.903484464287,5955,6.2160751565762
16543.893302865272,5402,5.638830897703549
16732.88312126626,4741,4.948851774530271
16921.872939667242,4413,4.606471816283925
17110.86275806823,4418,4.61169102296451
17299.852576469217,4338,4.528183716075157
17488.8423948702,3894,4.064718162839249
17677.832213271187,3167,3.305845511482255
17866.822031672174,2860,2.9853862212943634
18055.811850073158,2934,3.0626304801670146
18244.801668474145,2155,2.2494780793319413
18433.79148687513,711,0.7421711899791231
18622.781305276116,78,0.081419624217119
18811.771123677103,5,0.005219206680584551
19000.760942078086,1,0.0010438413361169101
19189.750760479074,1,0.0010438413361169101
