Histogram Bins [cnts.],Histogram [pxls.],Area Norm. Histogram [pxl frac.]
-76.1129161582787,66,0.06889352818371608
-74.44338765289861,51,0.05323590814196242
-72.77385914751854,74,0.07724425887265135
-71.10433064213845,75,0.07828810020876827
-69.43480213675838,63,0.06576200417536535
-67.76527363137829,56,0.05845511482254697
-66.0957451259982,125,0.1304801670146138
-64.42621662061813,170,0.17745302713987474
-62.756688115238056,159,0.16597077244258873
-61.08715960985798,162,0.16910229645093947
-59.41763110447789,205,0.2139874739039666
-57.74810259909782,423,0.44154488517745305
-56.078574093717734,485,0.5062630480167014
-54.409045588337655,613,0.639874739039666
-52.739517082957576,586,0.6116910229645094
-51.06998857757749,800,0.8350730688935282
-49.40046007219742,923,0.9634655532359081
-47.73093156681733,1215,1.268267223382046
-46.061403061437254,1753,1.8298538622129437
-44.391874556057175,1637,1.7087682672233822
-42.722346050677096,2594,2.7077244258872653
-41.05281754529702,2352,2.4551148225469728
-39.38328903991694,2434,2.5407098121085596
-37.71376053453685,2670,2.7870563674321502
-36.044232029156774,3396,3.5448851774530272
-34.374703523776695,3657,3.817327766179541
-32.705175018396616,4610,4.812108559498956
-31.035646513016538,5268,5.498956158663883
-29.36611800763646,6805,7.103340292275574
-27.696589502256373,7372,7.695198329853862
-26.027060996876294,8223,8.583507306889352
-24.357532491496215,9950,10.386221294363256
-22.688003986116136,11324,11.820459290187891
-21.018475480736058,12480,13.02713987473904
-19.34894697535598,15205,15.87160751565762
-17.6794184699759,18153,18.948851774530272
-16.009889964595814,21232,22.16283924843424
-14.340361459215735,23427,24.454070981210855
-12.670832953835657,30578,31.91858037578288
-11.00130444845557,37097,38.72338204592902
-9.331775943075499,39676,41.41544885177453
-7.662247437695413,41486,43.30480167014614
-5.992718932315341,40529,42.305845511482254
-4.3231904269352555,43351,45.25156576200418
-2.6536619215551838,47835,49.9321503131524
-0.9841334161750979,56650,59.13361169102296
0.685395089204988,57527,60.04906054279749
2.3549235945850597,50816,53.04384133611691
4.024452099965146,44246,46.18580375782881
5.693980605345217,36481,38.080375782881
7.363509110725303,32191,33.602296450939455
9.033037616105375,26902,28.08141962421712
10.70256612148546,22829,23.829853862212943
12.372094626865547,19522,20.37787056367432
14.041623132245618,16728,17.461377870563673
15.711151637625704,13259,13.840292275574113
17.380680143005776,11179,11.669102296450939
19.050208648385862,10577,11.04070981210856
20.719737153765948,9410,9.822546972860126
22.38926565914602,7600,7.933194154488517
24.058794164526105,6509,6.794363256784969
25.728322669906177,5910,6.16910229645094
27.397851175286263,5568,5.812108559498956
29.067379680666335,4518,4.7160751565762
30.73690818604642,3801,3.9676409185803756
32.40643669142651,3301,3.4457202505219207
34.07596519680658,2846,2.9707724425887263
35.745493702186664,2330,2.432150313152401
37.415022207566736,2067,2.1576200417536535
39.08455071294682,1727,1.802713987473904
40.75407921832689,1630,1.7014613778705636
42.42360772370698,1517,1.5835073068893528
44.093136229087065,1290,1.346555323590814
45.76266473446714,1194,1.2463465553235908
47.43219323984722,1018,1.0626304801670146
49.101721745227294,854,0.8914405010438413
50.77125025060738,638,0.6659707724425887
52.44077875598745,680,0.7098121085594989
54.11030726136755,504,0.5260960334029228
55.779835766747624,551,0.5751565762004175
57.449364272127696,513,0.535490605427975
59.11889277750777,449,0.46868475991649267
60.78842128288787,469,0.48956158663883087
62.45794978826794,404,0.42171189979123175
64.12747829364801,330,0.3444676409185804
65.79700679902811,188,0.19624217118997914
67.46653530440818,139,0.14509394572025053
69.13606380978825,118,0.12317327766179541
70.80559231516833,107,0.11169102296450939
72.47512082054843,34,0.03549060542797495
74.1446493259285,45,0.04697286012526096
75.81417783130857,24,0.025052192066805846
77.48370633668867,26,0.027139874739039668
79.15323484206874,31,0.032359081419624215
80.82276334744881,21,0.021920668058455117
82.49229185282888,22,0.022964509394572025
84.16182035820898,17,0.017745302713987474
85.83134886358906,27,0.028183716075156576
87.50087736896913,19,0.019832985386221295
89.17040587434923,24,0.025052192066805846
