Histogram Bins [cnts.],Histogram [pxls.],Area Norm. Histogram [pxl frac.]
-80.93076681349206,70,0.07306889352818371
-79.3926478376465,45,0.04697286012526096
-77.85452886180097,76,0.07933194154488518
-76.31640988595542,90,0.09394572025052192
-74.77829091010989,87,0.09081419624217119
-73.24017193426434,155,0.1617954070981211
-71.7020529584188,285,0.2974947807933194
-70.16393398257325,915,0.9551148225469729
-68.62581500672772,2795,2.9175365344467643
-67.08769603088217,8858,9.24634655532359
-65.54957705503664,10537,10.998956158663884
-64.01145807919109,15865,16.56054279749478
-62.473339103345545,17867,18.650313152400834
-60.9352201275,16138,16.845511482254697
-59.39710115165446,18281,19.082463465553236
-57.85898217580892,21299,22.23277661795407
-56.32086319996338,23029,24.038622129436327
-54.782744224117835,25341,26.45198329853862
-53.24462524827229,24231,25.293319415448853
-51.70650627242675,25828,26.960334029227557
-50.16838729658121,24969,26.063674321503132
-48.63026832073567,23822,24.866388308977037
-47.092149344890124,23859,24.90501043841336
-45.55403036904458,24258,25.321503131524008
-44.01591139319903,25093,26.19311064718163
-42.47779241735349,24916,26.008350730688935
-40.93967344150795,24793,25.879958246346554
-39.40155446566241,26292,27.444676409185803
-37.863435489816865,27977,29.203549060542798
-36.32531651397132,28914,30.181628392484342
-34.78719753812578,30574,31.914405010438415
-33.24907856228024,32157,33.56680584551148
-31.710959586434697,32226,33.63883089770355
-30.172840610589155,30420,31.75365344467641
-28.634721634743613,27642,28.853862212943632
-27.09660265889807,26643,27.81106471816284
-25.55848368305253,26290,27.44258872651357
-24.020364707206987,26216,27.36534446764092
-22.482245731361445,23811,24.85490605427975
-20.944126755515903,23424,24.450939457202505
-19.40600777967036,20199,21.08455114822547
-17.867888803824812,17308,18.06680584551148
-16.329769827979277,14859,15.51043841336117
-14.791650852133728,12623,13.176409185803758
-13.253531876288193,10704,11.173277661795407
-11.715412900442644,9395,9.806889352818372
-10.177293924597109,8294,8.657620041753653
-8.63917494875156,7626,7.960334029227558
-7.1010559729060105,6849,7.149269311064718
-5.562936997060476,6064,6.329853862212944
-4.0248180212149265,5501,5.742171189979123
-2.4866990453693916,4876,5.0897703549060545
-0.9485800695238424,4464,4.659707724425887
0.5895389063216925,3767,3.932150313152401
2.1276578821672416,3627,3.7860125260960333
3.6657768580127765,3290,3.4342379958246347
5.203895833858326,2977,3.107515657620042
6.742014809703861,2594,2.7077244258872653
8.28013378554941,2491,2.6002087682672235
9.818252761394945,2409,2.5146137787056366
11.356371737240494,2000,2.0876826722338206
12.894490713086029,1818,1.8977035490605427
14.432609688931578,1683,1.7567849686847599
15.970728664777113,1579,1.6482254697286012
17.508847640622662,1419,1.4812108559498955
19.04696661646821,1293,1.349686847599165
20.585085592313746,1226,1.279749478079332
22.123204568159295,1314,1.37160751565762
23.66132354400483,972,1.0146137787056368
25.19944251985038,825,0.8611691022964509
26.737561495695914,820,0.8559498956158664
28.275680471541463,663,0.6920668058455115
29.813799447386998,602,0.6283924843423799
31.351918423232547,636,0.6638830897703549
32.89003739907808,494,0.5156576200417536
34.42815637492363,468,0.48851774530271397
35.966275350769166,425,0.44363256784968685
37.504394326614715,364,0.37995824634655534
39.04251330246025,338,0.35281837160751567
40.5806322783058,325,0.33924843423799583
42.118751254151334,323,0.33716075156576203
43.65687022999688,278,0.29018789144050106
45.19498920584243,245,0.255741127348643
46.73310818168797,167,0.174321503131524
48.2712271575335,128,0.1336116910229645
49.80934613337905,149,0.15553235908141963
51.3474651092246,196,0.2045929018789144
52.88558408507015,110,0.11482254697286012
54.42370306091567,137,0.1430062630480167
55.96182203676122,154,0.16075156576200417
57.49994101260677,127,0.1325678496868476
59.03805998845232,111,0.11586638830897704
60.57617896429784,112,0.11691022964509394
62.11429794014339,92,0.09603340292275574
63.65241691598894,48,0.05010438413361169
65.19053589183449,27,0.028183716075156576
66.72865486768004,24,0.025052192066805846
68.26677384352556,20,0.020876826722338204
69.8048928193711,16,0.016701461377870562
71.34301179521665,31,0.032359081419624215
