Histogram Bins [cnts.],Histogram [pxls.],Area Norm. Histogram [pxl frac.]
159.4460080156851,3533,3.550753768844221
302.1980482248446,30791,30.945728643216082
444.95008843400416,96585,97.07035175879398
587.7021286431636,58231,58.52361809045226
730.4541688523232,41567,41.77587939698493
873.2062090614827,30255,30.407035175879397
1015.9582492706422,25167,25.293467336683417
1158.7102894798018,22888,23.003015075376883
1301.4623296889613,20846,20.950753768844223
1444.2143698981208,18699,18.792964824120602
1586.9664101072804,18360,18.452261306532662
1729.7184503164399,19043,19.138693467336683
1872.4704905255994,18460,18.55276381909548
2015.222530734759,16795,16.87939698492462
2157.9745709439185,15685,15.763819095477388
2300.726611153078,14915,14.989949748743719
2443.4786513622375,13679,13.747738693467337
2586.230691571397,12792,12.856281407035176
2728.9827317805566,12634,12.697487437185929
2871.734771989716,12517,12.579899497487437
3014.4868121988757,11465,11.522613065326633
3157.238852408035,10996,11.051256281407035
3299.9908926171947,10644,10.697487437185929
3442.7429328263543,10219,10.27035175879397
3585.494973035514,10479,10.531658291457287
3728.2470132446733,10185,10.236180904522612
3870.999053453833,9067,9.112562814070351
4013.7510936629924,8828,8.872361809045227
4156.503133872152,8777,8.82110552763819
4299.255174081311,8476,8.518592964824121
4442.007214290471,8540,8.582914572864322
4584.7592544996305,8547,8.589949748743718
4727.51129470879,8426,8.468341708542713
4870.26333491795,8250,8.291457286432161
5013.015375127109,8635,8.678391959798995
5155.767415336269,8765,8.809045226130653
5298.519455545428,9535,9.582914572864322
5441.271495754588,9660,9.708542713567839
5584.023535963747,9732,9.780904522613065
5726.775576172907,9948,9.997989949748744
5869.527616382066,9458,9.505527638190955
6012.279656591226,8984,9.029145728643217
6155.031696800385,8969,9.014070351758795
6297.783737009545,9011,9.056281407035176
6440.535777218704,9339,9.385929648241206
6583.287817427864,9275,9.321608040201005
6726.0398576370235,9004,9.049246231155779
6868.791897846183,8833,8.877386934673368
7011.543938055343,8528,8.570854271356785
7154.295978264502,8535,8.577889447236181
7297.048018473662,8729,8.77286432160804
7439.800058682821,8598,8.641206030150753
7582.552098891981,8633,8.67638190954774
7725.30413910114,8762,8.806030150753768
7868.0561793103,8287,8.328643216080401
8010.808219519459,8195,8.236180904522612
8153.560259728619,7861,7.900502512562814
8296.31229993778,7730,7.768844221105527
8439.064340146939,7689,7.727638190954774
8581.816380356098,7390,7.42713567839196
8724.568420565258,6626,6.65929648241206
8867.320460774417,5935,5.964824120603015
9010.072500983577,5561,5.5889447236180905
9152.824541192736,5853,5.882412060301507
9295.576581401896,5898,5.927638190954774
9438.328621611055,6006,6.036180904522613
9581.080661820215,5821,5.850251256281407
9723.832702029375,5023,5.048241206030151
9866.584742238534,4086,4.106532663316583
10009.336782447694,3230,3.2462311557788945
10152.088822656853,2878,2.892462311557789
10294.840862866013,2668,2.681407035175879
10437.592903075172,2585,2.5979899497487438
10580.344943284332,2390,2.4020100502512562
10723.096983493491,2175,2.185929648241206
10865.84902370265,2269,2.2804020100502513
11008.60106391181,2333,2.3447236180904523
11151.35310412097,2311,2.322613065326633
11294.10514433013,2080,2.090452261306533
11436.857184539289,1594,1.6020100502512562
11579.609224748448,1324,1.3306532663316584
11722.361264957608,1187,1.192964824120603
11865.113305166768,1262,1.2683417085427136
12007.865345375927,1254,1.2603015075376884
12150.617385585087,1096,1.1015075376884422
12293.369425794246,1005,1.0100502512562815
12436.121466003406,855,0.8592964824120602
12578.873506212565,786,0.7899497487437186
12721.625546421725,685,0.6884422110552764
12864.377586630884,600,0.6030150753768844
13007.129626840044,590,0.592964824120603
13149.881667049203,501,0.5035175879396985
13292.633707258363,414,0.41608040201005025
13435.385747467522,352,0.35376884422110555
13578.137787676682,298,0.2994974874371859
13720.889827885841,158,0.15879396984924624
13863.641868095001,47,0.04723618090452261
14006.39390830416,24,0.024120603015075376
14149.14594851332,14,0.01407035175879397
14291.89798872248,5,0.005025125628140704
