Histogram Bins [cnts.],Histogram [pxls.],Area Norm. Histogram [pxl frac.]
239.94724571761867,459,0.4791231732776618
330.5078555538946,4138,4.319415448851775
421.06846539017056,26471,27.63152400835073
511.62907522644645,50180,52.379958246346554
602.1896850627224,42681,44.552192066805844
692.7502948989984,32125,33.53340292275574
783.3109047352742,23770,24.812108559498956
873.8715145715502,18292,19.09394572025052
964.4321244078261,15082,15.74321503131524
1054.992734244102,13894,14.503131524008351
1145.5533440803779,13539,14.132567849686847
1236.1139539166538,12781,13.34133611691023
1326.6745637529298,11758,12.273486430062631
1417.2351735892057,11189,11.679540709812109
1507.7957834254817,10406,10.862212943632567
1598.3563932617576,9982,10.419624217118997
1688.9170030980335,9242,9.647181628392484
1779.4776129343095,8658,9.037578288100208
1870.0382227705854,8327,8.692066805845512
1960.5988326068614,7865,8.209812108559499
2051.1594424431373,7316,7.6367432150313155
2141.7200522794133,7237,7.554279749478079
2232.280662115689,7193,7.508350730688935
2322.8412719519647,6860,7.160751565762004
2413.4018817882406,6754,7.050104384133611
2503.9624916245166,6501,6.786012526096034
2594.5231014607925,6311,6.587682672233821
2685.0837112970685,6049,6.31419624217119
2775.6443211333444,6036,6.30062630480167
2866.2049309696204,6087,6.353862212943633
2956.7655408058963,5854,6.1106471816283925
3047.3261506421723,5808,6.062630480167015
3137.886760478448,5790,6.04384133611691
3228.447370314724,5755,6.007306889352819
3319.007980151,5783,6.036534446764092
3409.568589987276,5710,5.960334029227558
3500.129199823552,5639,5.886221294363256
3590.689809659828,5734,5.985386221294363
3681.250419496104,5541,5.7839248434238
3771.81102933238,5593,5.838204592901879
3862.3716391686557,5660,5.908141962421712
3952.9322490049317,5889,6.1471816283924845
4043.4928588412076,6108,6.375782881002087
4134.053468677484,6033,6.297494780793319
4224.6140785137595,6095,6.362212943632568
4315.1746883500355,6258,6.532359081419624
4405.735298186311,6391,6.671189979123174
4496.295908022587,6163,6.433194154488517
4586.856517858863,6276,6.551148225469729
4677.417127695139,6187,6.458246346555324
4767.977737531415,6177,6.447807933194155
4858.538347367691,6144,6.413361169102297
4949.098957203967,6452,6.734864300626305
5039.659567040243,6327,6.604384133611691
5130.220176876519,6373,6.652400835073069
5220.780786712795,6462,6.745302713987474
5311.341396549071,6547,6.834029227557411
5401.902006385347,6751,7.046972860125261
5492.462616221623,6885,7.186847599164927
5583.023226057899,7224,7.54070981210856
5673.583835894175,7253,7.57098121085595
5764.144445730451,7573,7.9050104384133615
5854.7050555667265,7759,8.099164926931106
5945.2656654030025,7946,8.294363256784969
6035.826275239278,8277,8.639874739039666
6126.386885075554,8650,9.029227557411273
6216.94749491183,9185,9.58768267223382
6307.508104748106,10005,10.443632567849686
6398.068714584382,10260,10.709812108559499
6488.629324420658,10487,10.946764091858038
6579.189934256934,11112,11.599164926931106
6669.75054409321,11927,12.449895615866389
6760.311153929486,12997,13.566805845511482
6850.871763765762,14170,14.791231732776618
6941.432373602038,14711,15.355949895615867
7031.992983438314,15198,15.864300626304802
7122.55359327459,16017,16.719206680584552
7213.114203110866,17299,18.05741127348643
7303.674812947142,18020,18.810020876826723
7394.235422783418,17747,18.525052192066806
7484.7960326196935,16770,17.505219206680586
7575.356642455969,15815,16.508350730688935
7665.917252292245,14728,15.373695198329854
7756.477862128521,12055,12.583507306889352
7847.038471964797,8938,9.329853862212943
7937.599081801073,7204,7.519832985386222
8028.159691637349,6085,6.351774530271399
8118.720301473625,4896,5.1106471816283925
8209.280911309901,3734,3.8977035490605427
8299.841521146176,2520,2.6304801670146136
8390.402130982453,1629,1.7004175365344467
8480.962740818728,1185,1.2369519832985387
8571.523350655003,1126,1.1753653444676408
8662.08396049128,1155,1.2056367432150312
8752.644570327555,903,0.94258872651357
8843.205180163832,708,0.7390396659707724
8933.765790000107,561,0.5855949895615866
9024.326399836384,262,0.27348643006263046
9114.887009672659,91,0.09498956158663883
9205.447619508936,14,0.014613778705636743
