Histogram Bins [cnts.],Histogram [pxls.],Area Norm. Histogram [pxl frac.]
243.8565032352272,12433,12.978079331941546
393.5070138722992,80640,84.17536534446764
543.1575245093711,134639,140.5417536534447
692.8080351464432,86992,90.80584551148226
842.4585457835151,63656,66.44676409185804
992.1090564205872,45806,47.81419624217119
1141.759567057659,35903,37.47703549060543
1291.4100776947312,29210,30.49060542797495
1441.060588331803,23410,24.436325678496868
1590.711098968875,19482,20.336116910229645
1740.361609605947,16970,17.713987473903966
1890.0121202430191,14974,15.630480167014614
2039.662630880091,13816,14.421711899791232
2189.313141517163,13332,13.916492693110648
2338.963652154235,12982,13.551148225469728
2488.614162791307,12413,12.957202505219207
2638.264673428379,11610,12.118997912317328
2787.915184065451,10666,11.133611691022965
2937.5656947025227,9805,10.234864300626304
3087.216205339595,9537,9.955114822546973
3236.866715976667,9181,9.583507306889352
3386.517226613739,8760,9.144050104384133
3536.167737250811,8249,8.610647181628392
3685.818247887883,7485,7.813152400835073
3835.468758524955,6731,7.026096033402923
3985.1192691620267,6263,6.5375782881002085
4134.769779799099,6028,6.292275574112735
4284.420290436171,5943,6.203549060542797
4434.070801073243,5865,6.122129436325679
4583.721311710315,5722,5.9728601252609606
4733.371822347387,5698,5.947807933194155
4883.022332984458,5549,5.792275574112735
5032.672843621531,5605,5.850730688935282
5182.323354258603,5908,6.167014613778706
5331.9738648956745,5552,5.7954070981210855
5481.624375532747,5226,5.455114822546973
5631.274886169818,5107,5.33089770354906
5780.925396806891,5182,5.409185803757829
5930.575907443963,4974,5.192066805845512
6080.226418081034,4672,4.876826722338205
6229.876928718107,4464,4.659707724425887
6379.527439355179,4328,4.517745302713988
6529.17794999225,4079,4.257828810020877
6678.828460629323,3906,4.077244258872652
6828.478971266395,3923,4.0949895615866385
6978.1294819034665,3821,3.988517745302714
7127.779992540539,3600,3.757828810020877
7277.43050317761,3477,3.6294363256784967
7427.081013814683,3399,3.548016701461378
7576.731524451755,3401,3.5501043841336117
7726.382035088826,3630,3.789144050104384
7876.032545725899,3691,3.8528183716075155
8025.68305636297,3956,4.129436325678497
8175.333567000042,4310,4.498956158663883
8324.984077637115,4133,4.31419624217119
8474.634588274186,3839,4.007306889352819
8624.28509891126,3481,3.6336116910229643
8773.93560954833,3231,3.372651356993737
8923.586120185402,3063,3.1972860125260962
9073.236630822474,3156,3.2943632567849686
9222.887141459547,2987,3.117954070981211
9372.537652096618,2649,2.7651356993736953
9522.18816273369,2410,2.5156576200417535
9671.838673370763,2276,2.375782881002088
9821.489184007834,2136,2.22964509394572
9971.139694644906,1991,2.078288100208768
10120.790205281979,2019,2.107515657620042
10270.44071591905,2066,2.1565762004175366
10420.091226556122,2129,2.222338204592902
10569.741737193195,2106,2.198329853862213
10719.392247830267,2085,2.1764091858037578
10869.042758467338,2116,2.208768267223382
11018.69326910441,2089,2.1805845511482254
11168.343779741483,2173,2.268267223382046
11317.994290378554,2296,2.396659707724426
11467.644801015625,1992,2.079331941544885
11617.295311652699,1849,1.930062630480167
11766.94582228977,1851,1.932150313152401
11916.596332926842,1721,1.7964509394572026
12066.246843563915,1648,1.720250521920668
12215.897354200986,1609,1.6795407098121085
12365.547864838058,1697,1.7713987473903967
12515.19837547513,1676,1.7494780793319415
12664.848886112202,1307,1.3643006263048016
12814.499396749274,1136,1.18580375782881
12964.149907386347,1172,1.2233820459290188
13113.800418023418,1109,1.1576200417536535
13263.45092866049,1059,1.105427974947808
13413.101439297563,999,1.0427974947807934
13562.751949934634,941,0.9822546972860126
13712.402460571706,827,0.8632567849686847
13862.052971208777,871,0.9091858037578288
14011.70348184585,1115,1.163883089770355
14161.353992482922,880,0.918580375782881
14311.004503119993,630,0.6576200417536534
14460.655013757067,473,0.49373695198329853
14610.305524394138,363,0.37891440501043844
14759.95603503121,278,0.29018789144050106
14909.606545668283,139,0.14509394572025053
15059.257056305354,30,0.031315240083507306
